Retail Branding,Marketing Name,Device,Model
,,AD681H,Smartfren Andromax AD681H
,,FJL21,FJL21
,,hws7721g,MediaPad 7 Youth 2
1&1,1&1 Puck,diw362_1u1,DIW362P 1U1
1&1,1&1 TV Box,diw387_1u1,DIW387 1U1
1&1,DIW387-1&1,diw387_1u1,DIW387 1U1
10.or,10or_G2,G2,10or G2
10.or,D,10or_D,D
10.or,E,E,E
10.or,G,G,G
10.or,G2,G2,G2
3222222 Satelital,G706,G706,G706
3BBTV,3BBTV,S3000,S3000-T0C08
3BBTV,TBBTV01,TBBTV01,TBBTV01
3Go,GT10K3IPS,GT10K3IPS,GT10K3IPS
3Go,GT70053G,GT70053G,GT70053G
3Go,GT7007EQC,GT7007EQC,GT7007EQC
3Q,OC1020A,OC1020A,OC1020A
3Rtablet,VT-7GA,VT-7GA,VT-7GA
3Rtablet,VT-7GE,VT-7GE,VT-7GE
4good,4GOOD Light B100,4GOOD_Light_B100,Light B100
4good,A103,4GOOD_Light_A103,Light A103
5STAR,5Star_Note_5,5Star_Note_5,5Star_Note_5
5STAR,Note_1_Pro,Note_1_Pro,Note_1_Pro
7Eleven,IN265,IN265,IN265
7mobile,DRENA,DRENA,DRENA
7mobile,KAMBA,KAMBA,KAMBA
7mobile,Kamba 2,7mobile_Kamba_2,Kamba_2
7mobile,SWEGUE,SWEGUE,SWEGUE
7mobile,Swegue 2,Swegue_2,Swegue 2
9mobile,DM_T901,DM_T901,DM_T901
A.O.I. ELECTRONICS FACTORY,A.O.I.,TR10CS1_11,TR10CS1
A1,A1 Alpha 20+,P671F60,A1 Alpha 20+
A1,A1 Smart N9,VFD720,VFD 720
A1,ADT-3,adt3,ADT-3
A1,Ai-ES1059,Ai-ES1059,Ai-ES1059
AAUW,T60Pro,T60Pro,T60Pro
AAUW,T_50,T_50,T_50
ABCTECH,PG11,PG11,PG11
ABCTECH,X20,X20,X20
ABCTECH,X20_Pro,X20_Pro,X20_Pro
ABCTECH,X5,X5,X5
ACE (Global),BUZZ 3,BUZZ_3,BUZZ 3
ACE (Global),BUZZ 3 Plus,BUZZ_3_Plus,BUZZ 3 Plus
ACE (Global),CLEVER 3,CLEVER_3,CLEVER 3
ACE (Global),URBAN 3,URBAN_3,URBAN 3
ACE (Global),URBAN 3 Plus,URBAN_3_PlusE,URBAN 3 Plus
ACE France,AS0218,AS0218,BUZZ 1
ACE France,AS0518,AS0518,URBAN 1 Pro
ACE France,AS0618,AS0618,CLEVER 1
ACE France,BUZZ 2,BUZZ_2,BUZZ 2
ACE France,BUZZ 2,BUZZ_2_Plus,BUZZ 2 Plus
ACE France,BUZZ 3 Lite,BUZZ_3_Lite,BUZZ 3 Lite
